price;area;bedrooms;bathrooms;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;furnishingstatus
Rp13.300.000;7420;4;2;yes;no;no;no;yes;2;furnished
Rp12.250.000;8960;4;4;yes;no;no;no;yes;3;furnished
Rp12.250.000;9960;3;2;yes;no;yes;no;no;2;semi-furnished
Rp12.215.000;7500;4;2;yes;no;yes;no;yes;3;furnished
Rp11.410.000;7420;4;1;yes;yes;yes;no;yes;2;furnished
Rp10.850.000;7500;3;3;yes;no;yes;no;yes;2;semi-furnished
Rp10.150.000;8580;4;3;yes;no;no;no;yes;2;semi-furnished
Rp10.150.000;16200;5;3;yes;no;no;no;no;0;unfurnished
Rp9.870.000;8100;4;1;yes;yes;yes;no;yes;2;furnished
Rp9.800.000;5750;3;2;yes;yes;no;no;yes;1;unfurnished
Rp9.800.000;13200;3;1;yes;no;yes;no;yes;2;furnished
Rp9.681.000;6000;4;3;yes;yes;yes;yes;no;2;semi-furnished
Rp9.310.000;6550;4;2;yes;no;no;no;yes;1;semi-furnished
Rp9.240.000;3500;4;2;yes;no;no;yes;no;2;furnished
Rp9.240.000;7800;3;2;yes;no;no;no;no;0;semi-furnished
Rp9.100.000;6000;4;1;yes;no;yes;no;no;2;semi-furnished
Rp9.100.000;6600;4;2;yes;yes;yes;no;yes;1;unfurnished
Rp8.960.000;8500;3;2;yes;no;no;no;yes;2;furnished
Rp8.890.000;4600;3;2;yes;yes;no;no;yes;2;furnished
Rp8.855.000;6420;3;2;yes;no;no;no;yes;1;semi-furnished
Rp8.750.000;4320;3;1;yes;no;yes;yes;no;2;semi-furnished
Rp8.680.000;7155;3;2;yes;yes;yes;no;yes;2;unfurnished
Rp8.645.000;8050;3;1;yes;yes;yes;no;yes;1;furnished
Rp8.645.000;4560;3;2;yes;yes;yes;no;yes;1;furnished
Rp8.575.000;8800;3;2;yes;no;no;no;yes;2;furnished
Rp8.540.000;6540;4;2;yes;yes;yes;no;yes;2;furnished
Rp8.463.000;6000;3;2;yes;yes;yes;no;yes;0;semi-furnished
Rp8.400.000;8875;3;1;yes;no;no;no;no;1;semi-furnished
Rp8.400.000;7950;5;2;yes;no;yes;yes;no;2;unfurnished
Rp8.400.000;5500;4;2;yes;no;yes;no;yes;1;semi-furnished
Rp8.400.000;7475;3;2;yes;no;no;no;yes;2;unfurnished
Rp8.400.000;7000;3;1;yes;no;no;no;yes;2;semi-furnished
Rp8.295.000;4880;4;2;yes;no;no;no;yes;1;furnished
Rp8.190.000;5960;3;3;yes;yes;yes;no;no;1;unfurnished
Rp8.120.000;6840;5;1;yes;yes;yes;no;yes;1;furnished
Rp8.080.940;7000;3;2;yes;no;no;no;yes;2;furnished
Rp8.043.000;7482;3;2;yes;no;no;yes;no;1;furnished
Rp7.980.000;9000;4;2;yes;no;no;no;yes;2;furnished
Rp7.962.500;6000;3;1;yes;yes;no;no;yes;2;unfurnished
Rp7.910.000;6000;4;2;yes;no;no;no;yes;1;semi-furnished
Rp7.875.000;6550;3;1;yes;no;yes;no;yes;0;furnished
Rp7.840.000;6360;3;2;yes;no;no;no;yes;0;furnished
Rp7.700.000;6480;3;2;yes;no;no;no;yes;2;unfurnished
Rp7.700.000;6000;4;2;yes;no;no;no;no;2;semi-furnished
Rp7.560.000;6000;4;2;yes;no;no;no;yes;1;furnished
Rp7.560.000;6000;3;2;yes;no;no;no;yes;0;semi-furnished
Rp7.525.000;6000;3;2;yes;no;no;no;yes;1;furnished
Rp7.490.000;6600;3;1;yes;no;no;no;yes;3;furnished
Rp7.455.000;4300;3;2;yes;no;yes;no;no;1;unfurnished
Rp7.420.000;7440;3;2;yes;yes;yes;no;yes;0;semi-furnished
Rp7.420.000;7440;3;2;yes;no;no;no;no;1;unfurnished
Rp7.420.000;6325;3;1;yes;no;no;no;yes;1;unfurnished
Rp7.350.000;6000;4;2;yes;yes;no;no;yes;1;furnished
Rp7.350.000;5150;3;2;yes;no;no;no;yes;2;semi-furnished
Rp7.350.000;6000;3;2;yes;yes;no;no;yes;1;semi-furnished
Rp7.350.000;6000;3;1;yes;no;no;no;yes;1;unfurnished
Rp7.343.000;11440;4;1;yes;no;yes;no;no;1;semi-furnished
Rp7.245.000;9000;4;2;yes;yes;no;no;yes;1;furnished
Rp7.210.000;7680;4;2;yes;yes;no;no;yes;1;semi-furnished
Rp7.210.000;6000;3;2;yes;yes;no;no;yes;1;furnished
Rp7.140.000;6000;3;2;yes;yes;no;no;no;1;semi-furnished
Rp7.070.000;8880;2;1;yes;no;no;no;yes;1;semi-furnished
Rp7.070.000;6240;4;2;yes;no;no;no;yes;1;furnished
Rp7.035.000;6360;4;2;yes;no;no;no;yes;2;furnished
Rp7.000.000;11175;3;1;yes;no;yes;no;yes;1;furnished
Rp6.930.000;8880;3;2;yes;no;yes;no;yes;1;furnished
Rp6.930.000;13200;2;1;yes;no;yes;yes;no;1;furnished
Rp6.895.000;7700;3;2;yes;no;no;no;no;2;unfurnished
Rp6.860.000;6000;3;1;yes;no;no;no;yes;1;furnished
Rp6.790.000;12090;4;2;yes;no;no;no;no;2;furnished
Rp6.790.000;4000;3;2;yes;no;yes;no;yes;0;semi-furnished
Rp6.755.000;6000;4;2;yes;no;no;no;yes;0;unfurnished
Rp6.720.000;5020;3;1;yes;no;no;no;yes;0;unfurnished
Rp6.685.000;6600;2;2;yes;no;yes;no;no;0;furnished
Rp6.650.000;4040;3;1;yes;no;yes;yes;no;1;furnished
Rp6.650.000;4260;4;2;yes;no;no;yes;no;0;semi-furnished
Rp6.650.000;6420;3;2;yes;no;no;no;yes;0;furnished
Rp6.650.000;6500;3;2;yes;no;no;no;yes;0;furnished
Rp6.650.000;5700;3;1;yes;yes;yes;no;yes;2;furnished
Rp6.650.000;6000;3;2;yes;yes;no;no;yes;0;furnished
Rp6.629.000;6000;3;1;yes;no;no;yes;no;1;semi-furnished
Rp6.615.000;4000;3;2;yes;no;yes;no;yes;1;semi-furnished
Rp6.615.000;10500;3;2;yes;no;yes;no;yes;1;furnished
Rp6.580.000;6000;3;2;yes;no;no;no;yes;0;semi-furnished
Rp6.510.000;3760;3;1;yes;no;no;yes;no;2;semi-furnished
Rp6.510.000;8250;3;2;yes;no;no;no;yes;0;furnished
Rp6.510.000;6670;3;1;yes;no;yes;no;no;0;unfurnished
Rp6.475.000;3960;3;1;yes;no;yes;no;no;2;semi-furnished
Rp6.475.000;7410;3;1;yes;yes;yes;no;yes;2;unfurnished
Rp6.440.000;8580;5;3;yes;no;no;no;no;2;furnished
Rp6.440.000;5000;3;1;yes;no;no;no;yes;0;semi-furnished
Rp6.419.000;6750;2;1;yes;yes;yes;no;no;2;furnished
Rp6.405.000;4800;3;2;yes;yes;no;no;yes;0;furnished
Rp6.300.000;7200;3;2;yes;no;yes;no;yes;3;semi-furnished
Rp6.300.000;6000;4;2;yes;no;no;no;no;1;semi-furnished
Rp6.300.000;4100;3;2;yes;no;no;no;yes;2;semi-furnished
Rp6.300.000;9000;3;1;yes;no;yes;no;no;1;furnished
Rp6.300.000;6400;3;1;yes;yes;yes;no;yes;1;semi-furnished
Rp6.293.000;6600;3;2;yes;no;no;no;yes;0;unfurnished
Rp6.265.000;6000;4;1;yes;yes;yes;no;no;0;unfurnished
Rp6.230.000;6600;3;2;yes;no;yes;no;yes;0;unfurnished
Rp6.230.000;5500;3;1;yes;no;no;no;no;1;unfurnished
Rp6.195.000;5500;3;2;yes;yes;no;no;yes;1;semi-furnished
Rp6.195.000;6350;3;2;yes;yes;no;no;yes;0;furnished
Rp6.195.000;5500;3;2;yes;yes;yes;no;no;2;furnished
Rp6.160.000;4500;3;1;yes;no;no;no;yes;0;unfurnished
Rp6.160.000;5450;4;2;yes;no;yes;no;yes;0;semi-furnished
Rp6.125.000;6420;3;1;yes;no;yes;no;no;0;unfurnished
Rp6.107.500;3240;4;1;yes;no;no;no;no;1;semi-furnished
Rp6.090.000;6615;4;2;yes;yes;no;yes;no;1;semi-furnished
Rp6.090.000;6600;3;1;yes;yes;yes;no;no;2;semi-furnished
Rp6.090.000;8372;3;1;yes;no;no;no;yes;2;unfurnished
Rp6.083.000;4300;6;2;yes;no;no;no;no;0;furnished
Rp6.083.000;9620;3;1;yes;no;yes;no;no;2;furnished
Rp6.020.000;6800;2;1;yes;yes;yes;no;no;2;furnished
Rp6.020.000;8000;3;1;yes;yes;yes;no;yes;2;semi-furnished
Rp6.020.000;6900;3;2;yes;yes;yes;no;no;0;unfurnished
Rp5.950.000;3700;4;1;yes;yes;no;no;yes;0;furnished
Rp5.950.000;6420;3;1;yes;no;yes;no;yes;0;furnished
Rp5.950.000;7020;3;1;yes;no;yes;no;yes;2;semi-furnished
Rp5.950.000;6540;3;1;yes;yes;yes;no;no;2;furnished
Rp5.950.000;7231;3;1;yes;yes;yes;no;yes;0;semi-furnished
Rp5.950.000;6254;4;2;yes;no;yes;no;no;1;semi-furnished
Rp5.950.000;7320;4;2;yes;no;no;no;no;0;furnished
Rp5.950.000;6525;3;2;yes;no;no;no;no;1;furnished
Rp5.943.000;15600;3;1;yes;no;no;no;yes;2;semi-furnished
Rp5.880.000;7160;3;1;yes;no;yes;no;no;2;unfurnished
Rp5.880.000;6500;3;2;yes;no;no;no;yes;0;unfurnished
Rp5.873.000;5500;3;1;yes;yes;no;no;yes;1;furnished
Rp5.873.000;11460;3;1;yes;no;no;no;no;2;semi-furnished
Rp5.866.000;4800;3;1;yes;yes;yes;no;no;0;unfurnished
Rp5.810.000;5828;4;1;yes;yes;no;no;no;0;semi-furnished
Rp5.810.000;5200;3;1;yes;no;no;no;yes;0;semi-furnished
Rp5.810.000;4800;3;1;yes;no;no;no;yes;0;unfurnished
Rp5.803.000;7000;3;1;yes;no;yes;no;no;2;semi-furnished
Rp5.775.000;6000;3;2;yes;no;no;no;yes;0;unfurnished
Rp5.740.000;5400;4;2;yes;no;no;no;yes;2;unfurnished
Rp5.740.000;4640;4;1;yes;no;no;no;no;1;semi-furnished
Rp5.740.000;5000;3;1;yes;no;no;no;yes;0;semi-furnished
Rp5.740.000;6360;3;1;yes;yes;yes;no;yes;2;furnished
Rp5.740.000;5800;3;2;yes;no;no;no;yes;0;unfurnished
Rp5.652.500;6660;4;2;yes;yes;yes;no;no;1;semi-furnished
Rp5.600.000;10500;4;2;yes;no;no;no;no;1;semi-furnished
Rp5.600.000;4800;5;2;no;no;yes;yes;no;0;unfurnished
Rp5.600.000;4700;4;1;yes;yes;yes;no;yes;1;furnished
Rp5.600.000;5000;3;1;yes;no;no;no;no;0;furnished
Rp5.600.000;10500;2;1;yes;no;no;no;no;1;semi-furnished
Rp5.600.000;5500;3;2;yes;no;no;no;no;1;semi-furnished
Rp5.600.000;6360;3;1;yes;no;no;no;no;0;semi-furnished
Rp5.600.000;6600;4;2;yes;no;yes;no;no;0;semi-furnished
Rp5.600.000;5136;3;1;yes;yes;yes;no;yes;0;unfurnished
Rp5.565.000;4400;4;1;yes;no;no;no;yes;2;semi-furnished
Rp5.565.000;5400;5;1;yes;yes;yes;no;yes;0;furnished
Rp5.530.000;3300;3;3;yes;no;yes;no;no;0;semi-furnished
Rp5.530.000;3650;3;2;yes;no;no;no;no;2;semi-furnished
Rp5.530.000;6100;3;2;yes;no;yes;no;no;2;furnished
Rp5.523.000;6900;3;1;yes;yes;yes;no;no;0;semi-furnished
Rp5.495.000;2817;4;2;no;yes;yes;no;no;1;furnished
Rp5.495.000;7980;3;1;yes;no;no;no;no;2;semi-furnished
Rp5.460.000;3150;3;2;yes;yes;yes;no;yes;0;furnished
Rp5.460.000;6210;4;1;yes;yes;no;no;yes;0;furnished
Rp5.460.000;6100;3;1;yes;yes;no;no;yes;0;semi-furnished
Rp5.460.000;6600;4;2;yes;yes;yes;no;no;0;semi-furnished
Rp5.425.000;6825;3;1;yes;yes;yes;no;yes;0;semi-furnished
Rp5.390.000;6710;3;2;yes;yes;yes;no;no;1;furnished
Rp5.383.000;6450;3;2;yes;yes;yes;yes;no;0;unfurnished
Rp5.320.000;7800;3;1;yes;no;yes;no;yes;2;unfurnished
Rp5.285.000;4600;2;2;yes;no;no;no;yes;2;semi-furnished
Rp5.250.000;4260;4;1;yes;no;yes;no;yes;0;furnished
Rp5.250.000;6540;4;2;no;no;no;no;yes;0;semi-furnished
Rp5.250.000;5500;3;2;yes;no;yes;no;no;0;semi-furnished
Rp5.250.000;10269;3;1;yes;no;no;no;no;1;semi-furnished
Rp5.250.000;8400;3;1;yes;yes;yes;no;yes;2;unfurnished
Rp5.250.000;5300;4;2;yes;no;no;no;yes;0;unfurnished
Rp5.250.000;3800;3;1;yes;yes;yes;no;no;1;unfurnished
Rp5.250.000;9800;4;2;yes;yes;no;no;no;2;semi-furnished
Rp5.250.000;8520;3;1;yes;no;no;no;yes;2;furnished
Rp5.243.000;6050;3;1;yes;no;yes;no;no;0;semi-furnished
Rp5.229.000;7085;3;1;yes;yes;yes;no;no;2;semi-furnished
Rp5.215.000;3180;3;2;yes;no;no;no;no;2;semi-furnished
Rp5.215.000;4500;4;2;no;no;yes;no;yes;2;semi-furnished
Rp5.215.000;7200;3;1;yes;yes;yes;no;no;1;furnished
Rp5.145.000;3410;3;1;no;no;no;no;yes;0;semi-furnished
Rp5.145.000;7980;3;1;yes;no;no;no;no;1;semi-furnished
Rp5.110.000;3000;3;2;yes;yes;yes;no;no;0;furnished
Rp5.110.000;3000;3;1;yes;no;yes;no;no;0;unfurnished
Rp5.110.000;11410;2;1;yes;no;no;no;no;0;furnished
Rp5.110.000;6100;3;1;yes;no;yes;no;yes;0;semi-furnished
Rp5.075.000;5720;2;1;yes;no;no;no;yes;0;unfurnished
Rp5.040.000;3540;2;1;no;yes;yes;no;no;0;semi-furnished
Rp5.040.000;7600;4;1;yes;no;no;no;yes;2;furnished
Rp5.040.000;10700;3;1;yes;yes;yes;no;no;0;semi-furnished
Rp5.040.000;6600;3;1;yes;yes;yes;no;no;0;furnished
Rp5.033.000;4800;2;1;yes;yes;yes;no;no;0;semi-furnished
Rp5.005.000;8150;3;2;yes;yes;yes;no;no;0;semi-furnished
Rp4.970.000;4410;4;3;yes;no;yes;no;no;2;semi-furnished
Rp4.970.000;7686;3;1;yes;yes;yes;yes;no;0;semi-furnished
Rp4.956.000;2800;3;2;no;no;yes;no;yes;1;semi-furnished
Rp4.935.000;5948;3;1;yes;no;no;no;yes;0;semi-furnished
Rp4.907.000;4200;3;1;yes;no;no;no;no;1;furnished
Rp4.900.000;4520;3;1;yes;no;yes;no;yes;0;semi-furnished
Rp4.900.000;4095;3;1;no;yes;yes;no;yes;0;semi-furnished
Rp4.900.000;4120;2;1;yes;no;yes;no;no;1;semi-furnished
Rp4.900.000;5400;4;1;yes;no;no;no;no;0;semi-furnished
Rp4.900.000;4770;3;1;yes;yes;yes;no;no;0;semi-furnished
Rp4.900.000;6300;3;1;yes;no;no;no;yes;2;semi-furnished
Rp4.900.000;5800;2;1;yes;yes;yes;no;yes;0;semi-furnished
Rp4.900.000;3000;3;1;yes;no;yes;no;yes;0;semi-furnished
Rp4.900.000;2970;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.900.000;6720;3;1;yes;no;no;no;no;0;unfurnished
Rp4.900.000;4646;3;1;yes;yes;yes;no;no;2;semi-furnished
Rp4.900.000;12900;3;1;yes;no;no;no;no;2;furnished
Rp4.893.000;3420;4;2;yes;no;yes;no;yes;2;semi-furnished
Rp4.893.000;4995;4;2;yes;no;yes;no;no;0;semi-furnished
Rp4.865.000;4350;2;1;yes;no;yes;no;no;0;unfurnished
Rp4.830.000;4160;3;1;yes;no;no;no;no;0;unfurnished
Rp4.830.000;6040;3;1;yes;no;no;no;no;2;semi-furnished
Rp4.830.000;6862;3;1;yes;no;no;no;yes;2;furnished
Rp4.830.000;4815;2;1;yes;no;no;no;yes;0;semi-furnished
Rp4.795.000;7000;3;1;yes;no;yes;no;no;0;unfurnished
Rp4.795.000;8100;4;1;yes;no;yes;no;yes;2;semi-furnished
Rp4.767.000;3420;4;2;yes;no;no;no;no;0;semi-furnished
Rp4.760.000;9166;2;1;yes;no;yes;no;yes;2;semi-furnished
Rp4.760.000;6321;3;1;yes;no;yes;no;yes;1;furnished
Rp4.760.000;10240;2;1;yes;no;no;no;yes;2;unfurnished
Rp4.753.000;6440;2;1;yes;no;no;no;yes;3;semi-furnished
Rp4.690.000;5170;3;1;yes;no;no;no;yes;0;semi-furnished
Rp4.690.000;6000;2;1;yes;no;yes;no;yes;1;furnished
Rp4.690.000;3630;3;1;yes;no;no;no;no;2;semi-furnished
Rp4.690.000;9667;4;2;yes;yes;yes;no;no;1;semi-furnished
Rp4.690.000;5400;2;1;yes;no;no;no;no;0;semi-furnished
Rp4.690.000;4320;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.655.000;3745;3;1;yes;no;yes;no;no;0;furnished
Rp4.620.000;4160;3;1;yes;yes;yes;no;yes;0;unfurnished
Rp4.620.000;3880;3;2;yes;no;yes;no;no;2;semi-furnished
Rp4.620.000;5680;3;1;yes;yes;no;no;yes;1;semi-furnished
Rp4.620.000;2870;2;1;yes;yes;yes;no;no;0;semi-furnished
Rp4.620.000;5010;3;1;yes;no;yes;no;no;0;semi-furnished
Rp4.613.000;4510;4;2;yes;no;yes;no;no;0;semi-furnished
Rp4.585.000;4000;3;1;yes;no;no;no;no;1;furnished
Rp4.585.000;3840;3;1;yes;no;no;no;no;1;semi-furnished
Rp4.550.000;3760;3;1;yes;no;no;no;no;2;semi-furnished
Rp4.550.000;3640;3;1;yes;no;no;no;yes;0;furnished
Rp4.550.000;2550;3;1;yes;no;yes;no;no;0;furnished
Rp4.550.000;5320;3;1;yes;yes;yes;no;no;0;semi-furnished
Rp4.550.000;5360;3;1;yes;no;no;no;no;2;unfurnished
Rp4.550.000;3520;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.550.000;8400;4;1;yes;no;no;no;no;3;unfurnished
Rp4.543.000;4100;2;2;yes;yes;yes;no;no;0;semi-furnished
Rp4.543.000;4990;4;2;yes;yes;yes;no;no;0;furnished
Rp4.515.000;3510;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.515.000;3450;3;1;yes;no;yes;no;no;1;semi-furnished
Rp4.515.000;9860;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.515.000;3520;2;1;yes;no;no;no;no;0;furnished
Rp4.480.000;4510;4;1;yes;no;no;no;yes;2;semi-furnished
Rp4.480.000;5885;2;1;yes;no;no;no;yes;1;unfurnished
Rp4.480.000;4000;3;1;yes;no;no;no;no;2;furnished
Rp4.480.000;8250;3;1;yes;no;no;no;no;0;furnished
Rp4.480.000;4040;3;1;yes;no;no;no;no;1;semi-furnished
Rp4.473.000;6360;2;1;yes;no;yes;no;yes;1;furnished
Rp4.473.000;3162;3;1;yes;no;no;no;yes;1;furnished
Rp4.473.000;3510;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.445.000;3750;2;1;yes;yes;yes;no;no;0;semi-furnished
Rp4.410.000;3968;3;1;no;no;no;no;no;0;semi-furnished
Rp4.410.000;4900;2;1;yes;no;yes;no;no;0;semi-furnished
Rp4.403.000;2880;3;1;yes;no;no;no;no;0;semi-furnished
Rp4.403.000;4880;3;1;yes;no;no;no;no;2;unfurnished
Rp4.403.000;4920;3;1;yes;no;no;no;no;1;semi-furnished
Rp4.382.000;4950;4;1;yes;no;no;no;yes;0;semi-furnished
